"PassengerId","Survived","titanicTest.Pclass","titanicTest.isMale","titanicTest.Age","titanicTest.Family","titanicTest.Embarked","titanicTest.Title","titanicTest.Deck"
892,0,3,1,34.5,0,"Q","Mr.","G"
893,1,3,0,47,1,"S","Mrs.","F"
894,0,2,1,62,0,"Q","Mr.","C"
895,0,3,1,27,0,"S","Mr.","F"
896,1,3,0,22,2,"S","Mrs.","F"
897,0,3,1,14,0,"S","Mr.","F"
898,0,3,0,30,0,"Q","Miss.","G"
899,0,2,1,26,2,"S","Mr.","F"
900,1,3,0,18,0,"C","Mrs.","F"
901,0,3,1,21,2,"S","Mr.","F"
902,0,3,1,33,0,"S","Mr.","F"
903,0,1,1,46,0,"S","Mr.","B"
904,1,1,0,23,1,"S","Mrs.","B"
905,0,2,1,63,1,"S","Mr.","B"
906,1,1,0,47,1,"S","Mrs.","E"
907,1,2,0,24,1,"C","Mrs.","D"
908,0,2,1,35,0,"Q","Mr.","C"
909,0,3,1,21,0,"C","Mr.","G"
910,1,3,0,27,1,"S","Miss.","F"
911,1,3,0,45,0,"C","Mrs.","F"
912,0,1,1,55,1,"C","Mr.","A"
913,0,3,1,9,1,"S","Master.","G"
914,1,1,0,39,0,"S","Mrs.","D"
915,1,1,1,21,1,"C","Mr.","D"
916,1,1,0,48,4,"C","Mrs.","B"
917,0,3,1,50,1,"S","Mr.","F"
918,1,1,0,22,1,"C","Miss.","B"
919,0,3,1,22.5,0,"C","Mr.","G"
920,0,1,1,41,0,"S","Mr.","A"
921,0,3,1,33,2,"C","Mr.","F"
922,0,2,1,50,1,"S","Mr.","D"
923,0,2,1,24,2,"S","Mr.","F"
924,1,3,0,33,3,"S","Mrs.","F"
925,1,3,0,39,3,"S","Mrs.","F"
926,0,1,1,30,1,"C","Mr.","C"
927,0,3,1,18.5,0,"C","Mr.","G"
928,0,3,0,22,0,"S","Miss.","G"
929,0,3,0,21,0,"S","Miss.","G"
930,0,3,1,25,0,"S","Mr.","F"
931,0,3,1,33,0,"S","Mr.","F"
932,0,3,1,39,1,"C","Mr.","F"
933,1,1,1,33,0,"S","Mr.","D"
934,0,3,1,41,0,"S","Mr.","F"
935,1,2,0,30,0,"S","Mrs.","D"
936,1,1,0,45,1,"S","Mrs.","D"
937,0,3,1,25,0,"S","Mr.","F"
938,0,1,1,45,0,"C","Mr.","A"
939,0,3,1,33,0,"Q","Mr.","G"
940,1,1,0,60,0,"C","Mrs.","D"
941,1,3,0,36,2,"S","Mrs.","F"
942,1,1,1,24,1,"S","Mr.","C"
943,0,2,1,27,0,"C","Mr.","D"
944,1,2,0,20,3,"S","Miss.","F"
945,1,1,0,28,5,"S","Miss.","C"
946,0,2,1,33,0,"C","Mr.","D"
947,0,3,1,10,5,"Q","Master.","G"
948,0,3,1,35,0,"S","Mr.","F"
949,0,3,1,25,0,"S","Mr.","F"
950,0,3,1,33,1,"S","Mr.","F"
951,1,1,0,36,0,"C","Miss.","B"
952,0,3,1,17,0,"S","Mr.","F"
